Cryptocurrency,Date,Price
Bitcoin,21/10/2018,6482.35000000000
Bitcoin,22/10/2018,6487.16000000000
Bitcoin,23/10/2018,6475.74000000000
Bitcoin,24/10/2018,6495.84000000000
Bitcoin,25/10/2018,6476.29000000000
Bitcoin,26/10/2018,6474.75000000000
Bitcoin,27/10/2018,6480.38000000000
Bitcoin,28/10/2018,6486.39000000000
Bitcoin,29/10/2018,6332.63000000000
Bitcoin,30/10/2018,6334.27000000000
Bitcoin,31/10/2018,6317.61000000000
Bitcoin,01/11/2018,6377.78000000000
Bitcoin,02/11/2018,6388.44000000000
Bitcoin,03/11/2018,6361.26000000000
Bitcoin,04/11/2018,6376.13000000000
Bitcoin,05/11/2018,6419.66000000000
Bitcoin,06/11/2018,6461.01000000000
Bitcoin,07/11/2018,6530.14000000000
Bitcoin,08/11/2018,6453.72000000000
Bitcoin,09/11/2018,6385.62000000000
Bitcoin,10/11/2018,6409.22000000000
Bitcoin,11/11/2018,6411.27000000000
Bitcoin,12/11/2018,6371.27000000000
Bitcoin,13/11/2018,6359.49000000000
Bitcoin,14/11/2018,5738.35000000000
Bitcoin,15/11/2018,5648.03000000000
Bitcoin,16/11/2018,5575.55000000000
Bitcoin,17/11/2018,5554.33000000000
Bitcoin,18/11/2018,5623.54000000000
Bitcoin,19/11/2018,4871.49000000000
Bitcoin,20/11/2018,4451.87000000000
Bitcoin,21/11/2018,4602.17000000000
Bitcoin,22/11/2018,4365.94000000000
Bitcoin,23/11/2018,4347.11000000000
Bitcoin,24/11/2018,3880.76000000000
Bitcoin,25/11/2018,4009.97000000000
Bitcoin,26/11/2018,3779.13000000000
Bitcoin,27/11/2018,3820.72000000000
Bitcoin,28/11/2018,4257.42000000000
Bitcoin,29/11/2018,4278.84645524000
Bitcoin,30/11/2018,4017.26845712000
Bitcoin,01/12/2018,4214.67193177000
Bitcoin,02/12/2018,4139.87806410000
Bitcoin,03/12/2018,3894.13090690000
Bitcoin,04/12/2018,3956.89386975000
Bitcoin,05/12/2018,3753.99482663000
Bitcoin,06/12/2018,3521.10172384000
Bitcoin,07/12/2018,3419.93720035000
Bitcoin,08/12/2018,3476.11471452000
Bitcoin,09/12/2018,3614.23427278000
Bitcoin,10/12/2018,3502.65599577000
Bitcoin,11/12/2018,3424.58807495000
Bitcoin,12/12/2018,3486.95014412000
Bitcoin,13/12/2018,3313.67725772000
Bitcoin,14/12/2018,3242.48476281000
Bitcoin,15/12/2018,3236.76164502000
Bitcoin,16/12/2018,3252.83902595000
Bitcoin,17/12/2018,3545.86476058000
Bitcoin,18/12/2018,3696.05912776000
Bitcoin,19/12/2018,3745.95076478000
Bitcoin,20/12/2018,4134.44120304000
Bitcoin,21/12/2018,3896.54371704000
Bitcoin,22/12/2018,4014.18251388000
Bitcoin,23/12/2018,3998.98034184000
Bitcoin,24/12/2018,4078.59919478000
Bitcoin,25/12/2018,3815.49060966000
Bitcoin,26/12/2018,3857.29751969000
Bitcoin,27/12/2018,3654.83353854000
Bitcoin,28/12/2018,3923.91859424000
Bitcoin,29/12/2018,3820.40868219000
Bitcoin,30/12/2018,3865.95257679000
Bitcoin,31/12/2018,3742.70033544000
Bitcoin,01/01/2019,3843.51996727000
Bitcoin,02/01/2019,3943.40933686000
Bitcoin,03/01/2019,3836.74131867000
Bitcoin,04/01/2019,3857.71761887000
Bitcoin,05/01/2019,3845.19446017000
Bitcoin,06/01/2019,4076.63268458000
Bitcoin,07/01/2019,4025.24828708000
Bitcoin,08/01/2019,4030.84799935000
Bitcoin,09/01/2019,4035.29636921000
Bitcoin,10/01/2019,3678.92468128000
Bitcoin,11/01/2019,3687.36548180000
Bitcoin,12/01/2019,3661.30098975000
Bitcoin,13/01/2019,3552.95306759000
Bitcoin,14/01/2019,3706.05222041000
Bitcoin,15/01/2019,3630.67522467000
Bitcoin,16/01/2019,3655.00688578000
Bitcoin,17/01/2019,3678.56397636000
Bitcoin,18/01/2019,3657.83943502000
Bitcoin,19/01/2019,3728.56836493000
Bitcoin,20/01/2019,3601.01359150000
Bitcoin,21/01/2019,3576.03243928000
Bitcoin,22/01/2019,3604.57705248000
Bitcoin,23/01/2019,3585.12306636000
Bitcoin,24/01/2019,3600.86550122000
Bitcoin,25/01/2019,3599.76588790000
Bitcoin,26/01/2019,3602.46043861000
Bitcoin,27/01/2019,3583.96576317000
Bitcoin,28/01/2019,3470.45054223000
Bitcoin,29/01/2019,3448.11702209000
Bitcoin,30/01/2019,3486.18175093000
Bitcoin,31/01/2019,3457.79274724000
Bitcoin,01/02/2019,3487.94538683000
Bitcoin,02/02/2019,3521.06078726000
Bitcoin,03/02/2019,3464.01332586000
Bitcoin,04/02/2019,3459.15414635000
Bitcoin,05/02/2019,3466.35743916000
Bitcoin,06/02/2019,3413.76771830000
Bitcoin,07/02/2019,3399.47164359000
Bitcoin,08/02/2019,3666.78035061000
Bitcoin,09/02/2019,3671.20370545000
Bitcoin,10/02/2019,3690.18824383000
Bitcoin,11/02/2019,3648.43062774000
Bitcoin,12/02/2019,3653.52864497000
Bitcoin,13/02/2019,3632.07060268000
Bitcoin,14/02/2019,3616.88097021000
Bitcoin,15/02/2019,3620.81075285000
Bitcoin,16/02/2019,3629.78749138000
Bitcoin,17/02/2019,3673.83629289000
Bitcoin,18/02/2019,3915.71447331000
Bitcoin,19/02/2019,3947.09440657000
Bitcoin,20/02/2019,3999.82050882000
Bitcoin,21/02/2019,3954.11824330000
Bitcoin,22/02/2019,4005.52660406000
Bitcoin,23/02/2019,4142.52692999000
Bitcoin,24/02/2019,3810.42743065000
Bitcoin,25/02/2019,3882.69629339000
Bitcoin,26/02/2019,3854.35793575000
Bitcoin,27/02/2019,3851.04747978000
Bitcoin,28/02/2019,3854.78528208000
Bitcoin,01/03/2019,3859.58375221000
Bitcoin,02/03/2019,3864.41510673000
Bitcoin,03/03/2019,3847.17569934000
Bitcoin,04/03/2019,3761.55701842000
Bitcoin,05/03/2019,3896.37502308000
Bitcoin,06/03/2019,3903.94258320000
Bitcoin,07/03/2019,3911.48428910000
Bitcoin,08/03/2019,3901.13162355000
Bitcoin,09/03/2019,3963.31374243000
Bitcoin,10/03/2019,3951.59982769000
Bitcoin,11/03/2019,3905.22731979000
Bitcoin,12/03/2019,3909.15620907000
Bitcoin,13/03/2019,3906.71716859000
Bitcoin,14/03/2019,3924.36911800000
Bitcoin,15/03/2019,3960.91118728000
Bitcoin,16/03/2019,4048.72590374000
Bitcoin,17/03/2019,4025.22897966000
Bitcoin,18/03/2019,4032.50738522000
Bitcoin,19/03/2019,4071.19020004000
Bitcoin,20/03/2019,4087.47629856000
Bitcoin,21/03/2019,4029.32690706000
Bitcoin,22/03/2019,4023.96816173000
Bitcoin,23/03/2019,4035.82635079000
Bitcoin,24/03/2019,4022.16828220000
Bitcoin,25/03/2019,3963.07065416000
Bitcoin,26/03/2019,3985.08080287000
Bitcoin,27/03/2019,4087.06622992000
Bitcoin,28/03/2019,4069.10714977000
Bitcoin,29/03/2019,4098.37454059000
Bitcoin,30/03/2019,4106.66008466000
Bitcoin,31/03/2019,4105.40429618000
Bitcoin,01/04/2019,4158.18307045000
Bitcoin,02/04/2019,4879.87782845000
Bitcoin,03/04/2019,4973.02181522000
Bitcoin,04/04/2019,4922.79878778000
Bitcoin,05/04/2019,5036.68110011000
Bitcoin,06/04/2019,5059.81718799000
Bitcoin,07/04/2019,5198.89699014000
Bitcoin,08/04/2019,5289.77104039000
Bitcoin,09/04/2019,5204.95837847000
Bitcoin,10/04/2019,5324.55186870000
Bitcoin,11/04/2019,5064.48767243000
Bitcoin,12/04/2019,5089.53891201000
Bitcoin,13/04/2019,5096.58656276000
Bitcoin,14/04/2019,5167.72236684000
Bitcoin,15/04/2019,5067.10847228000
Bitcoin,16/04/2019,5235.55941893000
Bitcoin,17/04/2019,5251.93818854000
Bitcoin,18/04/2019,5298.38569881000
Bitcoin,19/04/2019,5303.81261613000
Bitcoin,20/04/2019,5337.88613230000
Bitcoin,21/04/2019,5314.53145320000
Bitcoin,22/04/2019,5399.36541009000
Bitcoin,23/04/2019,5572.36206051000
Bitcoin,24/04/2019,5464.86664182000
Bitcoin,25/04/2019,5210.51555862000
Bitcoin,26/04/2019,5279.34821147000
Bitcoin,27/04/2019,5268.29106346000
Bitcoin,28/04/2019,5285.13900822000
Bitcoin,29/04/2019,5247.35253746000
Bitcoin,30/04/2019,5350.72669668000
Bitcoin,01/05/2019,5402.69709069000
Bitcoin,02/05/2019,5505.28367176000
Bitcoin,03/05/2019,5768.28940693000
Bitcoin,04/05/2019,5831.16747167000
Bitcoin,05/05/2019,5795.70842926000
Bitcoin,06/05/2019,5746.80700343000
Bitcoin,07/05/2019,5829.50151628000
Bitcoin,08/05/2019,5982.45732286000
Bitcoin,09/05/2019,6174.52868876000
Bitcoin,10/05/2019,6378.84897370000
Bitcoin,11/05/2019,7204.77169716000
Bitcoin,12/05/2019,6972.37152291000
Bitcoin,13/05/2019,7814.91513992000
Bitcoin,14/05/2019,7994.41615632000
Bitcoin,15/05/2019,8205.16749484000
Bitcoin,16/05/2019,7884.90929094000
Bitcoin,17/05/2019,7343.89571659000
Bitcoin,18/05/2019,7271.20790408000
Bitcoin,19/05/2019,8197.68969114000
Bitcoin,20/05/2019,7978.30907244000
Bitcoin,21/05/2019,7963.32777911000
Bitcoin,22/05/2019,7680.06654589000
