Cryptocurrency,Date,Price,
BTC Close,04/02/2019,3459.15414635000,
BTC Close,05/02/2019,3466.35743916000,
BTC Close,06/02/2019,3413.76771830000,
BTC Close,07/02/2019,3399.47164359000,
BTC Close,08/02/2019,3666.78035061000,
BTC Close,09/02/2019,3671.20370545000,
BTC Close,10/02/2019,3690.18824383000,
BTC Close,11/02/2019,3648.43062774000,
BTC Close,12/02/2019,3653.52864497000,
BTC Close,13/02/2019,3632.07060268000,
BTC Close,14/02/2019,3616.88097021000,
BTC Close,15/02/2019,3620.81075285000,
BTC Close,16/02/2019,3629.78749138000,
BTC Close,17/02/2019,3673.83629289000,
BTC Close,18/02/2019,3915.71447331000,
BTC Close,19/02/2019,3947.09440657000,
BTC Close,20/02/2019,3999.82050882000,
BTC Close,21/02/2019,3954.11824330000,
BTC Close,22/02/2019,4005.52660406000,
BTC Close,23/02/2019,4142.52692999000,
BTC Close,24/02/2019,3810.42743065000,
BTC Close,25/02/2019,3882.69629339000,
BTC Close,26/02/2019,3854.35793575000,
BTC Close,27/02/2019,3851.04747978000,
BTC Close,28/02/2019,3854.78528208000,
BTC Close,01/03/2019,3859.58375221000,
BTC Close,02/03/2019,3864.41510673000,
BTC Close,03/03/2019,3847.17569934000,
BTC Close,04/03/2019,3761.55701842000,
BTC Close,05/03/2019,3896.37502308000,
BTC Close,06/03/2019,3903.94258320000,
BTC Close,07/03/2019,3911.48428910000,
BTC Close,08/03/2019,3901.13162355000,
BTC Close,09/03/2019,3963.31374243000,
BTC Close,10/03/2019,3951.59982769000,
BTC Close,11/03/2019,3905.22731979000,
BTC Close,12/03/2019,3909.15620907000,
BTC Close,13/03/2019,3906.71716859000,
BTC Close,14/03/2019,3924.36911800000,
BTC Close,15/03/2019,3960.91118728000,
BTC Close,16/03/2019,4048.72590374000,
BTC Close,17/03/2019,4025.22897966000,
BTC Close,18/03/2019,4032.50738522000,
BTC Close,19/03/2019,4071.19020004000,
BTC Close,20/03/2019,4087.47629856000,
BTC Close,21/03/2019,4029.32690706000,
BTC Close,22/03/2019,4023.96816173000,
BTC Close,23/03/2019,4035.82635079000,
BTC Close,24/03/2019,4022.16828220000,
BTC Close,25/03/2019,3963.07065416000,
BTC Close,26/03/2019,3985.08080287000,
BTC Close,27/03/2019,4087.06622992000,
BTC Close,28/03/2019,4069.10714977000,
BTC Close,29/03/2019,4098.37454059000,
BTC Close,30/03/2019,4106.66008466000,
BTC Close,31/03/2019,4105.40429618000,
BTC Close,01/04/2019,4158.18307045000,
BTC Close,02/04/2019,4879.87782845000,
BTC Close,03/04/2019,4973.02181522000,
BTC Close,04/04/2019,4922.79878778000,
BTC Close,05/04/2019,5036.68110011000,
BTC Close,06/04/2019,5059.81718799000,
BTC Close,07/04/2019,5198.89699014000,
BTC Close,08/04/2019,5289.77104039000,
BTC Close,09/04/2019,5204.95837847000,
BTC Close,10/04/2019,5324.55186870000,
BTC Close,11/04/2019,5064.48767243000,
BTC Close,12/04/2019,5089.53891201000,
BTC Close,13/04/2019,5096.58656276000,
BTC Close,14/04/2019,5167.72236684000,
BTC Close,15/04/2019,5067.10847228000,
BTC Close,16/04/2019,5235.55941893000,
BTC Close,17/04/2019,5251.93818854000,
BTC Close,18/04/2019,5298.38569881000,
BTC Close,19/04/2019,5303.81261613000,
BTC Close,20/04/2019,5337.88613230000,
BTC Close,21/04/2019,5314.53145320000,
BTC Close,22/04/2019,5399.36541009000,
BTC Close,23/04/2019,5572.36206051000,
BTC Close,24/04/2019,5464.86664182000,
BTC Close,25/04/2019,5210.51555862000,
BTC Close,26/04/2019,5279.34821147000,
BTC Close,27/04/2019,5268.29106346000,
BTC Close,28/04/2019,5285.13900822000,
BTC Close,29/04/2019,5247.35253746000,
BTC Close,30/04/2019,5350.72669668000,
BTC Close,01/05/2019,5402.69709069000,
BTC Close,02/05/2019,5505.28367176000,
BTC Close,03/05/2019,5768.28940693000,
BTC Close,04/05/2019,5831.16747167000,
BTC Close,05/05/2019,5795.70842926000,
BTC Close,06/05/2019,5746.80700343000,
BTC Close,07/05/2019,5829.50151628000,
BTC Close,08/05/2019,5982.45732286000,
BTC Close,09/05/2019,6174.52868876000,
BTC Close,10/05/2019,6378.84897370000,
BTC Close,11/05/2019,7204.77169716000,
BTC Close,12/05/2019,6972.37152291000,
BTC Close,13/05/2019,7814.91513992000,
BTC Close,14/05/2019,7994.41615632000,
BTC Close,15/05/2019,8205.16749484000,
BTC Close,16/05/2019,7884.90929094000,
BTC Close,17/05/2019,7343.89571659000,
BTC Close,18/05/2019,7271.20790408000,
BTC Close,19/05/2019,8197.68969114000,
BTC Close,20/05/2019,7978.30907244000,
BTC Close,21/05/2019,7963.32777911000,
BTC Close,22/05/2019,7680.06654589000,
BTC Close,23/05/2019,7881.84672105000,
BTC Close,24/05/2019,7987.37156583000,
BTC Close,25/05/2019,8052.54385907000,
BTC Close,26/05/2019,8673.21603511000,
BTC Close,27/05/2019,8805.77837660000,
BTC Close,28/05/2019,8719.96173620000,
BTC Close,29/05/2019,8659.48775584000,
BTC Close,30/05/2019,8319.47222898000,
BTC Close,31/05/2019,8574.50164907000,
BTC Close,01/06/2019,8564.01647182000,
BTC Close,02/06/2019,8742.95810038000,
BTC Close,03/06/2019,8208.99482964000,
BTC Close,04/06/2019,7707.77077085000,
BTC Close,05/06/2019,7824.23153913000,
BTC Close,06/06/2019,7822.02338228000,
BTC Close,07/06/2019,8043.95135807000,
BTC Close,08/06/2019,7954.12772355000,
BTC Close,09/06/2019,7688.07711075000,
BTC Close,10/06/2019,8000.32982299000,
BTC Close,11/06/2019,7927.71435114000,
BTC Close,12/06/2019,8145.85747373000,
BTC Close,13/06/2019,8230.92383068000,
BTC Close,14/06/2019,8693.83281543000,
BTC Close,15/06/2019,8838.37523367000,
BTC Close,16/06/2019,8994.48801293000,
BTC Close,17/06/2019,9320.35218253000,
BTC Close,18/06/2019,9081.76285149000,
BTC Close,19/06/2019,9273.52176614000,
BTC Close,20/06/2019,9527.16035008000,
BTC Close,21/06/2019,10144.55671680000,
BTC Close,22/06/2019,10701.69101300000,
BTC Close,23/06/2019,10855.37101560000,
BTC Close,24/06/2019,11011.10244850000,
BTC Close,25/06/2019,11790.91653300000,
BTC Close,26/06/2019,13016.23174420000,
